Journal,ISSN,CN,Publisher,Frequency,Language,Founded,Discipline,SubDiscipline,IF_Composite,IF_Comprehensive,CSCD_Core,CSCD_Extended,PKU_Core,CSSCI,CSSCI_Extended,AMI_Authority,AMI_Core,AMI_Extended,AMI_Archive,SCI_Indexed,EI_Indexed,CSTPCD,Index_Labels
水文,1000-0852,11-1814/P,水利部信息中心(水利部水文水资源监测预报中心),双月,中文,1956.0,工程科技II;基础科学,地球物理学;水利水电工程,1.809,1.284,False,True,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD扩展版
动力工程学报,1674-7607,31-2041/TK,上海上发院发电成套设备工程有限公司;中国动力工程学会,月刊,中文,1981.0,工程科技II,动力工程,1.836,1.405,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
山东大学学报(工学版),1672-3961,37-1391/T,山东大学,双月,中文,1956.0,工程科技II,综合科技B类综合,1.84,1.077,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
上海交通大学学报,1006-2467,31-1466/U,上海交通大学,月刊,中文,1956.0,工程科技II,综合科技B类综合,1.622,1.041,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
制冷学报,0253-4339,11-2182/TB,中国制冷学会,双月,中文,1979.0,工程科技II,工业通用技术及设备,1.626,1.142,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
沈阳工业大学学报,1000-1646,21-1189/T,沈阳工业大学,双月,中文,1964.0,工程科技II,综合科技B类综合,1.627,1.131,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
Railway Engineering Science,2662-4745,51-1795/U,西南交通大学,季刊,英文,1993.0,工程科技II,综合科技B类综合,1.627,1.235,False,False,False,False,False,False,False,False,False,False,False,False,
Journal of Traffic and Transportation Engineering(English Edition),2095-7564,61-1494/U,长安大学,双月,英文,2014.0,工程科技II,公路与水路运输,1.64,1.053,True,False,False,False,False,False,False,False,False,False,True,False,EI; CSCD
中国工程机械学报,1672-5581,31-1926/TH,中国工程机械学会,双月,中文,2003.0,工程科技II,机械工业,1.643,1.0,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
隧道与地下工程灾害防治,2096-5052,37-1516/U,山东大学,季刊,中文,2019.0,工程科技II,公路与水路运输,1.644,1.241,,,,,,,,,,,,,
水资源与水工程学报,1672-643X,61-1413/TV,西北农林科技大学,双月,中文,1990.0,工程科技II,水利水电工程,1.647,1.204,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
郑州大学学报(工学版),1671-6833,41-1339/T,郑州大学,双月,中文,1980.0,工程科技II,综合科技B类综合,1.652,1.015,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
济南大学学报(自然科学版),1671-3559,37-1378/N,济南大学,双月,中文,1987.0,工程科技II,综合科技B类综合,1.663,0.921,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
混凝土与水泥制品,1000-4637,32-1173/TU,苏州混凝土水泥制品研究院;中国混凝土与水泥制品协会,月刊,中文,1974.0,工程科技II,建筑科学与工程,1.667,1.117,False,False,False,False,False,False,False,False,False,False,False,False,
汽车安全与节能学报,1674-8484,11-5904/U,清华大学,双月,中文,2010.0,工程科技II,汽车工业,1.669,0.992,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
东北大学学报(自然科学版),1005-3026,21-1344/T,东北大学,月刊,中文,1955.0,工程科技II,综合科技B类综合,1.67,1.024,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
Transactions of Tianjin University,1006-4982,12-1248/T,天津大学,双月,英文,1995.0,工程科技II,综合科技B类综合,1.671,1.228,False,False,False,False,False,False,False,False,False,False,True,False,EI
电源学报,2095-2805,12-1420/TM,中国电源学会;国家海洋技术中心,双月,中文,2002.0,工程科技II,电力工业,1.687,0.823,False,True,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD扩展版
空天技术,2097-0714,10-1780/TJ,北京海鹰科技情报研究所,双月,中文,1971.0,工程科技II,武器工业与军事技术,1.698,1.045,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
电器与能效管理技术,2095-8188,31-2099/TM,上海电器科学研究所(集团)有限公司,月刊,中文,1959.0,工程科技II,电力工业,1.7,1.457,False,False,False,False,False,False,False,False,False,False,False,False,
铁道科学与工程学报,1672-7029,43-1423/U,中南大学;中国铁道学会,月刊,中文,1979.0,工程科技II,综合科技B类综合,1.705,1.121,False,True,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD扩展版
Science China Technological Sciences,1674-7321,11-5845/TH,中国科学院;国家自然科学基金委员会,月刊,英文,1996.0,工程科技II,综合科技B类综合,1.705,1.224,True,False,False,False,False,False,False,False,False,True,True,False,SCI; EI; CSCD
人民黄河,1000-1379,41-1128/TV,水利部黄河水利委员会,月刊,中文,1949.0,工程科技II,水利水电工程,2.169,1.57,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
综合智慧能源,2097-0706,41-1461/TK,华电郑州机械设计研究院有限公司;中国华电科工集团有限公司,月刊,中文,1979.0,工程科技II,电力工业;动力工程,2.392,2.028,False,False,False,False,False,False,False,False,False,False,False,False,
西南交通大学学报,0258-2724,51-1277/U,西南交通大学,双月,中文,1954.0,工程科技II,综合科技B类综合,2.639,1.436,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
河海大学学报(自然科学版),1000-1980,32-1117/TV,河海大学,双月,中文,1957.0,工程科技II,综合科技B类综合,3.143,2.342,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
现代电力,1007-2322,11-3818/TM,华北电力大学,双月,中文,1984.0,工程科技II,电力工业,3.201,2.122,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
交通运输系统工程与信息,1009-6744,11-4520/U,中国系统工程学会,双月,中文,2001.0,工程科技II,公路与水路运输,3.246,2.022,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
电力工程技术,2096-3203,32-1866/TM,国网江苏省电力有限公司;江苏省电机工程学会,双月,中文,1982.0,工程科技II,电力工业,3.285,2.729,False,False,True,False,False,False,False,False,False,False,False,False,北大核心
水力发电学报,1003-1243,11-2241/TV,中国水力发电工程学会,月刊,中文,1982.0,工程科技II,水利水电工程,3.294,2.508,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
工程科学学报,2095-9389,10-1297/TF,北京科技大学,月刊,中文,1955.0,工程科技II,综合科技B类综合,3.295,2.29,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
建筑材料学报,1007-9629,31-1764/TU,同济大学,月刊,中文,1998.0,工程科技II,建筑科学与工程,3.309,2.077,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
土木工程学报,1000-131X,11-2120/TU,中国土木工程学会,月刊,中文,1954.0,工程科技II,建筑科学与工程,3.404,2.119,True,False,True,False,False,False,False,False,False,False,True,False,北大核心; EI; CSCD
发电技术,2096-4528,33-1405/TK,华电电力科学研究院有限公司,双月,中文,1979.0,工程科技II,电力工业,3.42,2.688,True,False,False,False,False,False,False,False,False,False,False,False,CSCD
电力系统及其自动化学报,1003-8930,12-1251/TM,天津大学,月刊,中文,1989.0,工程科技II,电力工业,3.523,2.222,True,False,True,False,False,False,False,False,False,False,False,False,北大核心; CSCD
变压器,1001-8425,21-1119/TM,沈阳变压器研究院,月刊,中文,1964.0,工程科技II,电力工业,3.53,3.279,False,False,False,False,False,False,False,False,False,False,False,False,
